Epoch,LR,Train_Loss,Train_Weather_Loss,Train_Time_Loss,Train_Weather_Acc,Train_Time_Acc,Val_Loss,Val_Weather_Loss,Val_Time_Loss,Val_Weather_Acc,Val_Time_Acc
1,1.0e-05,1.7033,1.2166,0.4866,0.5693,0.9036,1.2506,0.9063,0.3443,0.7711,0.9257
2,1.0e-05,1.1062,0.7933,0.3129,0.7621,0.9227,1.0114,0.7013,0.3101,0.8200,0.9223
3,1.0e-05,0.9833,0.6928,0.2905,0.7886,0.9282,0.9388,0.6428,0.2961,0.8258,0.9166
4,1.0e-05,0.9249,0.6478,0.2772,0.8022,0.9299,0.9383,0.6453,0.2930,0.8326,0.9223
5,1.0e-05,0.8899,0.6182,0.2717,0.8099,0.9313,0.9354,0.6456,0.2898,0.8343,0.9191
6,1.0e-05,0.8661,0.6028,0.2633,0.8136,0.9331,0.8799,0.5929,0.2870,0.8343,0.9226
7,1.0e-05,0.8422,0.5829,0.2593,0.8207,0.9340,0.8767,0.5935,0.2832,0.8351,0.9274
8,1.0e-05,0.8195,0.5651,0.2544,0.8240,0.9346,0.8571,0.5762,0.2810,0.8303,0.9277
9,1.0e-05,0.7985,0.5500,0.2484,0.8262,0.9361,0.8618,0.5772,0.2846,0.8248,0.9311
10,1.0e-05,0.7835,0.5413,0.2422,0.8269,0.9379,0.8652,0.5867,0.2785,0.8337,0.9281
11,1.0e-05,0.7680,0.5282,0.2398,0.8321,0.9376,0.8551,0.5713,0.2838,0.8367,0.9320
12,1.0e-05,0.7570,0.5196,0.2374,0.8345,0.9388,0.8532,0.5745,0.2786,0.8424,0.9230
13,1.0e-05,0.7438,0.5098,0.2340,0.8370,0.9382,0.8464,0.5697,0.2767,0.8363,0.9276
14,1.0e-05,0.7319,0.5027,0.2292,0.8380,0.9394,0.8674,0.5793,0.2881,0.8429,0.9321
15,1.0e-05,0.7184,0.4933,0.2251,0.8381,0.9403,0.8619,0.5771,0.2848,0.8362,0.9314
16,1.0e-06,0.7062,0.4852,0.2211,0.8404,0.9408,0.8642,0.5773,0.2869,0.8420,0.9334
17,1.0e-06,0.6933,0.4757,0.2176,0.8446,0.9416,0.8518,0.5696,0.2822,0.8357,0.9314
18,1.0e-06,0.6891,0.4726,0.2165,0.8441,0.9421,0.8581,0.5748,0.2832,0.8385,0.9326
19,1.0e-07,0.6878,0.4731,0.2146,0.8443,0.9427,0.8673,0.5846,0.2827,0.8449,0.9268
20,1.0e-07,0.6817,0.4676,0.2141,0.8454,0.9437,0.8810,0.5985,0.2825,0.8456,0.9326
