Epoch,LR,Train_Loss,Train_Weather_Loss,Train_Time_Loss,Train_Weather_Acc,Train_Time_Acc,Val_Loss,Val_Weather_Loss,Val_Time_Loss,Val_Weather_Acc,Val_Time_Acc
1,1.0e-05,1.6376,1.1732,0.4644,0.5981,0.8945,1.1911,0.8562,0.3349,0.7518,0.9256
2,1.0e-05,1.0494,0.7519,0.2975,0.7797,0.9253,1.0039,0.7010,0.3029,0.8069,0.9284
3,1.0e-05,0.9540,0.6726,0.2814,0.8003,0.9297,0.9506,0.6569,0.2937,0.8198,0.9292
4,1.0e-05,0.9110,0.6392,0.2718,0.8090,0.9310,0.9150,0.6260,0.2890,0.8243,0.9304
5,1.0e-05,0.8779,0.6134,0.2645,0.8153,0.9330,0.8907,0.6087,0.2820,0.8293,0.9260
6,1.0e-05,0.8465,0.5898,0.2566,0.8198,0.9343,0.8846,0.6042,0.2804,0.8305,0.9274
7,1.0e-05,0.8238,0.5707,0.2531,0.8226,0.9340,0.8688,0.5917,0.2771,0.8347,0.9258
8,1.0e-05,0.8054,0.5595,0.2459,0.8278,0.9369,0.8686,0.5880,0.2806,0.8294,0.9328
9,1.0e-05,0.7901,0.5472,0.2429,0.8301,0.9368,0.8653,0.5879,0.2774,0.8362,0.9310
10,1.0e-05,0.7705,0.5354,0.2351,0.8318,0.9387,0.8671,0.5881,0.2790,0.8337,0.9326
11,1.0e-05,0.7547,0.5211,0.2336,0.8373,0.9391,0.8610,0.5851,0.2759,0.8359,0.9295
12,1.0e-05,0.7477,0.5177,0.2300,0.8349,0.9388,0.8563,0.5799,0.2765,0.8365,0.9289
13,1.0e-05,0.7281,0.5032,0.2248,0.8391,0.9389,0.8539,0.5715,0.2824,0.8361,0.9354
14,1.0e-05,0.7120,0.4908,0.2211,0.8410,0.9416,0.8545,0.5733,0.2812,0.8357,0.9319
15,1.0e-05,0.7039,0.4861,0.2178,0.8426,0.9417,0.8550,0.5717,0.2833,0.8347,0.9319
16,1.0e-06,0.6909,0.4756,0.2153,0.8448,0.9425,0.8641,0.5746,0.2895,0.8352,0.9328
17,1.0e-06,0.6694,0.4601,0.2093,0.8508,0.9442,0.8628,0.5762,0.2866,0.8361,0.9319
18,1.0e-06,0.6715,0.4625,0.2090,0.8482,0.9448,0.8613,0.5748,0.2864,0.8352,0.9312
19,1.0e-07,0.6638,0.4555,0.2083,0.8505,0.9437,0.8613,0.5738,0.2874,0.8359,0.9318
20,1.0e-07,0.6643,0.4583,0.2059,0.8492,0.9452,0.8638,0.5768,0.2870,0.8354,0.9320
