Epoch,LR,Train_Loss,Train_Weather_Loss,Train_Time_Loss,Train_Weather_Acc,Train_Time_Acc,Val_Loss,Val_Weather_Loss,Val_Time_Loss,Val_Weather_Acc,Val_Time_Acc
1,1.0e-05,1.2919,0.9427,0.3492,0.6882,0.9165,1.0719,0.7402,0.3317,0.7775,0.9312
2,1.0e-05,0.9760,0.6964,0.2797,0.7903,0.9294,0.9697,0.6626,0.3071,0.8166,0.9325
3,1.0e-05,0.9055,0.6406,0.2649,0.8054,0.9335,0.9182,0.6273,0.2910,0.8203,0.9333
4,1.0e-05,0.8581,0.6023,0.2559,0.8151,0.9341,0.9176,0.6187,0.2990,0.8165,0.9357
5,1.0e-05,0.8244,0.5785,0.2459,0.8213,0.9371,0.9029,0.6022,0.3007,0.8313,0.9342
6,1.0e-05,0.7895,0.5522,0.2373,0.8281,0.9389,0.8822,0.5939,0.2883,0.8291,0.9290
7,1.0e-05,0.7616,0.5323,0.2293,0.8331,0.9400,0.9060,0.5965,0.3095,0.8337,0.9351
8,1.0e-05,0.7370,0.5147,0.2223,0.8367,0.9415,0.9036,0.5993,0.3043,0.8388,0.9341
9,1.0e-06,0.7162,0.4986,0.2176,0.8394,0.9414,0.9134,0.5861,0.3274,0.8294,0.9357
10,1.0e-06,0.6769,0.4728,0.2042,0.8461,0.9456,0.9014,0.5914,0.3100,0.8311,0.9363
11,1.0e-06,0.6719,0.4669,0.2050,0.8480,0.9457,0.8827,0.5795,0.3032,0.8303,0.9346
12,1.0e-07,0.6662,0.4624,0.2038,0.8485,0.9452,0.9046,0.5837,0.3209,0.8346,0.9358
13,1.0e-07,0.6632,0.4613,0.2019,0.8491,0.9465,0.8938,0.5837,0.3101,0.8291,0.9348
14,1.0e-07,0.6587,0.4584,0.2003,0.8507,0.9471,0.8809,0.5796,0.3013,0.8293,0.9334
15,1.0e-07,0.6617,0.4615,0.2002,0.8494,0.9478,0.8880,0.5875,0.3005,0.8333,0.9331
16,1.0e-07,0.6595,0.4589,0.2006,0.8507,0.9470,0.8883,0.5875,0.3008,0.8317,0.9333
17,1.0e-08,0.6608,0.4616,0.1992,0.8499,0.9466,0.9120,0.5946,0.3174,0.8362,0.9352
18,1.0e-08,0.6578,0.4583,0.1995,0.8512,0.9467,0.8939,0.5901,0.3037,0.8231,0.9337
19,1.0e-08,0.6596,0.4591,0.2005,0.8491,0.9469,0.9000,0.5855,0.3145,0.8275,0.9357
20,1.0e-08,0.6571,0.4575,0.1996,0.8510,0.9466,0.9105,0.5906,0.3199,0.8364,0.9359
